user_id,EMIS,School,Sector,supp_learn_envi_score,pos_behav_expec_score,lesson_facilitation_score,cfu_score,feedback_score,ct_score,autonomy_score,perseverance_score,social_score,overall_average_score
1442,284,IMSG (I-VIII) I-8/1,Urban-II,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0
4864,917,"IMCG, St. # 23, I-10/4",Urban-II,5.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0
72955,225,IMSG (I-VIII) F-7/4,Urban-I,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.56
4625,221,IMSG (I-VIII) F-7/1,Urban-I,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.67
4440,636,IMSB (I-V) Noon,Tarnol,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0
3878,915,"IMCG, F-8/1",Urban-I,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,3.22
107306,217,IMS(I-V) G-7/4,Urban-I,3.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,2.44
3892,915,"IMCG, F-8/1",Urban-I,3.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.11
2957,915,"IMCG, F-8/1",Urban-I,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.11
2619,281,IMSG (I-VIII) I-9/4,Urban-II,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.44
70315,275,IMSG(I-X) G-11/2,Urban-II,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.44
1903,554,IMSB (I-VIII) Ara Burji,Sihala,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.33
2771,448,IMSG (I-X) KURRI,B.K,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.22
3870,234,IMS(I-V) No.1 E-8,Urban-I,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.22
5082,637,IMSB (I-V) Shah Allah Ditta,Tarnol,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.33
1256,288,IMSG (I-VIII) I-10/4,Urban-II,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.89
4129,245,IMS(I-V) No.3 G-8/1,Urban-I,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.11
5136,231,IMS(I-V) F-7/2,Urban-I,4.0,3.0,5.0,4.0,2.0,5.0,5.0,2.0,1.0,3.44
1750,716,"IMCG,THANDA PANI (FA)",Nilore,3.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,3.11
4434,745,IMSG(I-V)ALI PUR FRASH,Nilore,3.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,5.0,3.78
1671,469,"IMSG (I-V), (NHC) CHAK SHEHZAD",B.K,3.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,5.0,3.0
109393,714,"IMCG,JAGIOT",Nilore,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,1.0,3.44
695,625,IMSG (I-VIII) Noon,Tarnol,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,3.89
4073,469,"IMSG (I-V), (NHC) CHAK SHEHZAD",B.K,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.56
1567,745,IMSG(I-V)ALI PUR FRASH,Nilore,4.0,4.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.67
109366,722,IMSG(I-VIII) KH. DAK,Nilore,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.56
1222,919,"IMCG, F-10/2",Urban-II,4.0,4.0,5.0,3.0,1.0,1.0,4.0,3.0,4.0,3.22
1239,919,"IMCG, F-10/2",Urban-II,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,3.11
2772,472,"IMSG (I-VIII), MOHRIAN",B.K,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0
2160,513,IMSG (I-VIII) Bhimber Trar,Sihala,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.67
1338,456,IMSG (I-X) NOORPUR SHAHAN,B.K,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
73106,630,IMSB (I-V) Tarnaul,Tarnol,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.89
1948,527,IMSG (I-V) Herdogher,Sihala,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
4696,903,"IMCG, F-11/3",Urban-II,4.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,2.89
7214,414,IMSB (I-V) MAIRA BEGWAL (evening),B.K,4.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0
3446,764,IMSB(I-V) SIRRI,Nilore,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.56
4794,918,"IMCG, I-8/4",Urban-II,4.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,2.67
159,425,"IMSB (I-V), DOHALA SYEDAN",B.K,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,3.56
316,719,IMSB(I-VIII) DELLA,Nilore,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.89
1652,729,IMSB(I-V) CH. BANGIAL,Nilore,3.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,2.89
3503,726,IMSB(I-V)SOHAN,Nilore,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,3.11
662,622,IMSB (I-VIII) Chellow,Tarnol,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.67
808,612,IMCG (I-XII) Shah Allah Ditta,Tarnol,4.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.44
554,628,IMSG (I-VIII) Dhoke Paracha,Tarnol,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.56
4449,615,IMCG (I-XII) Golra,Tarnol,4.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.89
3333,904,"IMCB, F-7/3",Urban-I,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.11
72869,604,IMSB (I-X) I-14,Tarnol,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.11
108378,604,IMSB (I-X) I-14,Tarnol,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
1847,511,IMSG (I-X) Gagri,Sihala,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.11
2200,539,IMSG (I-V) PWD Col,Sihala,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.67
2159,536,IMSG (I-V)Boora Bangial,Sihala,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.22
5085,507,IMCG (I-X) PindMalkan,Sihala,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.44
2928,210,IMS(I-V) G-6/2,Urban-I,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.78
4176,538,IMSG (I-VIII) PTC Sihala,Sihala,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.44
4175,538,IMSG (I-VIII) PTC Sihala,Sihala,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.11
1065,282,IMS(I-V) No.1 I-9/4,Urban-II,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0
2607,439,"IMSB (I-VIII), MALPUR",B.K,4.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.89
4424,283,IMS(I-V) No.2 I-9/4,Urban-II,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,2.22
3880,237,IMS(I-V) E-7/4,Urban-I,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.33
2798,913,"ICG, F-6/2",Urban-I,4.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,3.44
3734,912,"IMCG, ST. 25, F-6/2",Urban-I,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.78
1756,724,IMSG (I-VIII) KALIA (FA),Nilore,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.56
199,640,IMSB (I-V) JOHD,Tarnol,4.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0
1346,909,"IMCB, I-10/1",Urban-II,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.78
939,916,"IMCG, G-10/2",Urban-II,4.0,4.0,5.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0
